category,fund,FN_downside_cap_6M,HC_total_cap_6M,IR_rank,PK_quadrant,CJ_trailing12M_excess,recommendation,anchor,coverage,qfra2_verdict,qfra2_score,qfra2_grade,conviction,qfra2_new_fund,qfra2_asof,young_fund_months
large,Aditya Birla SL Frontline Equity Fund(G),0.9358129335204446,0.9693115963607761,,4.0,0.025818198099746503,HOLD,2025-05-31,1.0,INDEX CORE (+ satellites),50.0,C,Low/Index-lean,False,2026-05-27,
large,Axis Bluechip Fund-Reg(G),0.9202816031950262,1.0375371177746828,,1.0,0.01948802823938256,HOLD,2025-05-31,1.0,,,,,,,
large,Bajaj Finserv Large Cap Fund-Reg(G),0.9826891857358367,0.8988941354741977,,4.0,,HOLD,2025-05-31,1.0,,,,,,,21.2
large,Bandhan Large Cap Fund-Reg(G),1.0730450085281362,0.8876343537941082,,3.0,0.02220039505969673,HOLD,2025-05-31,1.0,,,,,,,
large,Bank of India Bluechip Fund-Reg(G),1.223697151619473,0.8046934455372506,,3.0,-0.06219664996559393,HOLD,2025-05-31,1.0,,,,,,,
large,Baroda BNP Paribas Large Cap Fund-Reg(G),0.9802456573520149,0.8641986253345435,,4.0,-0.005225385622143364,SELL,2025-05-31,1.0,,,,,,,
large,Canara Rob Bluechip Equity Fund-Reg(G),0.9448119475162626,1.0133916765519946,,1.0,0.03925001098859093,HOLD,2025-05-31,1.0,,,,,,,
large,DSP Top 100 Equity Fund-Reg(G),0.9042385877329098,1.0293180944870701,,1.0,0.06670786744049484,HOLD,2025-05-31,1.0,,,,,,,
large,Edelweiss Large Cap Fund-Reg(G),0.9094524330514169,1.0042159301608533,,1.0,0.010850142291775056,HOLD,2025-05-31,1.0,,,,,,,
large,Franklin India Bluechip Fund(G),0.9441292059796836,0.9248516813285689,,4.0,0.046226008972487964,HOLD,2025-05-31,1.0,INDEX CORE (+ satellites),62.0,C,Low/Index-lean,False,2026-05-27,
large,Groww Largecap Fund-Reg(G),1.0881336635668433,0.8179968965383827,,3.0,-0.04701091594527018,HOLD,2025-05-31,1.0,,,,,,,
large,HDFC Top 100 Fund(G),0.9175096354507892,1.011782675810092,,1.0,0.0026882841538682367,HOLD,2025-05-31,1.0,,,,,,,
large,HSBC Large Cap Fund(G),1.1054620007168676,0.9411454257577198,,3.0,0.029293106251697454,HOLD,2025-05-31,1.0,INDEX CORE (+ satellites),100.0,C,Low/Index-lean,False,2026-05-27,
large,ICICI Pru Bluechip Fund(G),0.8811018681956376,1.0177781194606739,5.0,1.0,0.02518951733757091,HOLD,2025-05-31,1.0,,,,,,,
large,Invesco India Largecap Fund(G),1.082137872151949,0.8568175705587454,,3.0,0.019132126936554084,HOLD,2025-05-31,1.0,INDEX CORE (+ satellites),88.0,C,Low/Index-lean,False,2026-05-27,
large,ITI Large Cap Fund-Reg(G),1.1535162245060477,0.9587591152240964,,3.0,-0.04598065840834065,HOLD,2025-05-31,1.0,,,,,,,
large,JM Large Cap Fund-Reg(G),1.168884410372895,0.8359142419186679,,3.0,-0.05417463902392361,HOLD,2025-05-31,1.0,,,,,,,
large,LIC MF Large Cap Fund-Reg(G),1.0291214344178132,1.0169531393097222,,4.0,0.01782980239766907,HOLD,2025-05-31,1.0,,,,,,,
large,Mahindra Manulife Large Cap Fund-Reg(G),0.9124539535129377,0.9686144869182486,,4.0,0.006897203157118614,HOLD,2025-05-31,1.0,,,,,,,
large,Mirae Asset Large Cap Fund-Reg(G),0.986684364442527,0.965978277132894,,4.0,0.03251891208023561,HOLD,2025-05-31,1.0,,,,,,,
large,Motilal Oswal Large Cap Fund-Reg(G),0.8737344183113068,1.303512926677384,1.0,1.0,0.1677032108711305,BUY,2025-05-31,1.0,,,,,,,27.5
large,Nippon India Large Cap Fund(G),0.9755748478519259,0.9524517953749139,,4.0,0.009359172943737892,HOLD,2025-05-31,1.0,INDEX CORE (+ satellites),75.0,C,Low/Index-lean,False,2026-05-27,
large,PGIM India Large Cap Fund(G),0.9479568551944139,1.0287332599192662,,1.0,0.010202611934288619,HOLD,2025-05-31,1.0,,,,,,,
large,Quant Large Cap Fund-Reg(G),1.1011995592910138,0.9726041056667404,,3.0,-0.05811889141906057,HOLD,2025-05-31,1.0,,,,,,,
large,SBI BlueChip Fund-Reg(G),0.8769003037193401,1.0027798567376058,10.0,1.0,0.02762281477130002,HOLD,2025-05-31,1.0,,,,,,,
large,Sundaram Large Cap Fund-Reg(G),0.8882717243129712,1.0015601533363034,11.0,1.0,0.013033197792043483,HOLD,2025-05-31,1.0,,,,,,,
large,Tata Large Cap Fund-Reg(G),0.9900116404584743,0.9971181798045196,,4.0,-0.00806227077042232,SELL,2025-05-31,1.0,,,,,,,
large,Taurus Large Cap Fund-Reg(G),1.0539225097944955,0.891703663361244,,3.0,-0.01401515107714979,HOLD,2025-05-31,1.0,,,,,,,
large,Union Largecap Fund-Reg(G),1.004984144947008,0.9354664290773893,,3.0,-0.02728220472116305,HOLD,2025-05-31,1.0,,,,,,,
large,WOC Large Cap Fund-Reg(G),1.0417230098267483,0.9295908700947065,,3.0,0.03528708594231911,HOLD,2025-05-31,1.0,,,,,,,
largemid,Axis Growth Opp Fund-Reg(G),0.9009812510809974,1.0430763365556777,8.0,1.0,0.08187942379927038,HOLD,2025-01-31,1.0,,,,,,,
largemid,Bajaj Finserv Large and Mid Cap Fund-Reg(G),0.8081743029157704,0.9334110539174956,24.0,4.0,,HOLD,2025-01-31,1.0,,,,,,,11.1
largemid,Bandhan Core Equity Fund-Reg(G),0.9548958580962145,0.9907123715125044,15.0,4.0,0.05657312285584526,HOLD,2025-01-31,1.0,,,,,,,
largemid,Bank of India Large & Mid Cap Equity Fund-Reg(G),1.0661067037028054,0.9578741747260044,,3.0,-0.024083635594629227,HOLD,2025-01-31,1.0,,,,,,,
largemid,Baroda BNP Paribas Large & Mid Cap Fund-Reg(G),0.9053335541663692,0.9582479099363621,18.0,4.0,0.01813008405751715,HOLD,2025-01-31,1.0,,,,,,,
largemid,Canara Rob Emerg Equities Fund-Reg(G),1.0288360119681803,1.094465114021475,,4.0,0.07709527794204418,HOLD,2025-01-31,1.0,,,,,,,
largemid,DSP Equity Opportunities Fund-Reg(G),0.9375743050921144,0.9503587798103648,21.0,4.0,0.05982473977725267,HOLD,2025-01-31,1.0,,,,,,,
largemid,Edelweiss Large & Mid Cap Fund-Reg(G),1.000199804271573,1.0767232422470059,,4.0,0.0358018287940971,HOLD,2025-01-31,1.0,,,,,,,
largemid,Franklin India Equity Advantage Fund(G),0.8588587482183286,0.9702006639655515,17.0,4.0,0.03766144793221149,HOLD,2025-01-31,1.0,ACTIVE,80.0,A,High,False,2026-05-27,
largemid,HDFC Large and Mid Cap Fund-Reg(G),0.9719324849807556,0.9571945175238087,20.0,4.0,0.0019938987343952608,HOLD,2025-01-31,1.0,,,,,,,
largemid,Helios Large & Mid Cap Fund-Reg(G),0.6159767782102272,0.7967793911140709,28.0,4.0,,HOLD,2025-01-31,1.0,,,,,,,2.9
largemid,HSBC Large & Mid Cap Fund-Reg(G),1.2051248004275679,1.164433024636225,,4.0,0.06884668939172789,HOLD,2025-01-31,1.0,,,,,,,
largemid,ICICI Pru Large & Mid Cap Fund(G),0.7773284045094403,0.9430703182505332,23.0,4.0,0.06989010238949422,HOLD,2025-01-31,1.0,ACTIVE,100.0,A,High,False,2026-05-27,
largemid,Invesco India Large & Mid Cap Fund(G),1.023158727113598,1.1637726420616048,,4.0,0.1129846467318294,HOLD,2025-01-31,1.0,ACTIVE,20.0,C,Low/Index-lean,False,2026-05-27,
largemid,ITI Large & Mid Cap Fund-Reg(G),0.9366083392109859,0.8633339702704276,27.0,4.0,,HOLD,2025-01-31,1.0,,,,,,,4.6
largemid,Kotak Equity Opp Fund(G),1.0065999524957183,0.9772925148952432,,3.0,0.04523808846561428,HOLD,2025-01-31,1.0,ACTIVE,60.0,B,Medium,False,2026-05-27,
largemid,LIC MF Large & Midcap Fund-Reg(G),1.03647213225773,1.0401964647377124,,4.0,0.06210199752880041,HOLD,2025-01-31,1.0,,,,,,,
largemid,Mahindra Manulife Large & Mid Cap Fund-Reg(G),1.0051299629407873,0.9492561681750917,,3.0,-0.061648942086974357,HOLD,2025-01-31,1.0,,,,,,,
largemid,Mirae Asset Large & Midcap Fund-Reg(G),0.9993835616791361,0.9309001579938252,25.0,4.0,-0.030227090206761398,SELL,2025-01-31,1.0,,,,,,,
largemid,Motilal Oswal Large & Midcap Fund-Reg(G),1.164001323547783,1.3528743314911582,,4.0,0.13257711762306412,HOLD,2025-01-31,1.0,,,,,,,
largemid,Navi Large & Midcap Fund-Reg(G),0.9539109503467283,0.9959848517484677,13.0,4.0,-0.004089044012430598,SELL,2025-01-31,1.0,,,,,,,
largemid,Nippon India Vision Fund(G),0.9705402953971475,1.058455597308406,7.0,1.0,0.0665419199055386,HOLD,2025-01-31,1.0,ACTIVE,40.0,B,Medium,False,2026-05-27,
largemid,PGIM India Large and Mid Cap Fund(G),0.9020699416610442,1.040940383882653,9.0,1.0,,HOLD,2025-01-31,1.0,,,,,,,11.5
largemid,Quant Large & Mid Cap Fund(G),0.945623442697173,0.7741832484690334,29.0,4.0,-0.026260316705798648,SELL,2025-01-31,1.0,,,,,,,
largemid,Sundaram Large and Mid Cap Fund(G),0.935437029509594,0.9907679792125406,14.0,4.0,0.029123417109555128,HOLD,2025-01-31,1.0,,,,,,,
largemid,Tata Large & Mid Cap Fund-Reg(G),0.9222197503419346,0.901963559431879,26.0,4.0,-0.01794636110996284,SELL,2025-01-31,1.0,,,,,,,
largemid,Union Large & Midcap Fund-Reg(G),1.0174480591235,1.028913619062476,,4.0,-0.0029820914970275503,SELL,2025-01-31,1.0,,,,,,,
largemid,UTI Large & Mid Cap Fund-Reg(G),0.9311186113351256,1.0116955135396015,12.0,1.0,0.09167293045498104,HOLD,2025-01-31,1.0,,,,,,,
largemid,WOC Large & Mid Cap Fund-Reg(G),0.9580092617871101,1.0693921938017317,6.0,1.0,0.053927307139617575,HOLD,2025-01-31,1.0,,,,,,,13.4
mid,Aditya Birla SL Midcap Fund(G),0.8963060329199272,0.8970571455851839,,4.0,0.01681492573018395,HOLD,2025-01-31,1.0,INDEX CORE (+ satellites),88.0,C,Low/Index-lean,False,2026-05-27,
mid,Axis Midcap Fund-Reg(G),0.8933987611806515,0.9249425948140233,,4.0,0.0802437090125463,HOLD,2025-01-31,1.0,,,,,,,
mid,Bandhan Midcap Fund-Reg(G),0.9664799606343576,0.9828189408454008,,4.0,0.06937508135347614,HOLD,2025-01-31,1.0,,,,,,,29.5
mid,Baroda BNP Paribas Mid Cap Fund-Reg(G),0.9125235527854841,0.9446894764892283,,4.0,0.03871926960881544,HOLD,2025-01-31,1.0,,,,,,,
mid,Canara Rob Mid Cap Fund-Reg(G),0.9643487170925396,0.922982363174167,,4.0,0.03942485784167893,HOLD,2025-01-31,1.0,,,,,,,25.9
mid,DSP Midcap Fund-Reg(G),0.9425973123577296,0.9204091261505118,,4.0,0.02557470126067085,HOLD,2025-01-31,1.0,,,,,,,
mid,Edelweiss Mid Cap Fund-Reg(G),0.958457358808854,1.0977395843238047,,1.0,0.10927848221816605,HOLD,2025-01-31,1.0,,,,,,,
mid,Franklin India Prima Fund(G),0.8906717684825483,0.969991210676667,,4.0,0.08296530467146845,HOLD,2025-01-31,1.0,INDEX CORE (+ satellites),50.0,C,Low/Index-lean,False,2026-05-27,
mid,HDFC Mid-Cap Opportunities Fund(G),0.8642006067358425,0.9418108546603909,,4.0,0.0383931439262315,HOLD,2025-01-31,1.0,,,,,,,
mid,HSBC Midcap Fund-Reg(G),1.108529685954193,1.1162313008484317,,4.0,0.05583722613033282,HOLD,2025-01-31,1.0,,,,,,,
mid,ICICI Pru Midcap Fund(G),0.9814675196276575,0.9649230671313498,,4.0,0.02344664739466884,HOLD,2025-01-31,1.0,INDEX CORE (+ satellites),62.0,C,Low/Index-lean,False,2026-05-27,
mid,Invesco India Midcap Fund(G),0.9328046883511922,1.0826392410060248,,1.0,0.1178876783367262,HOLD,2025-01-31,1.0,,,,,,,
mid,ITI Mid Cap Fund-Reg(G),1.038533753854104,0.9391724726659669,,3.0,0.023408298266077043,HOLD,2025-01-31,1.0,,,,,,,
mid,JM Midcap Fund-Reg(G),1.0190301352182503,0.9446027817405659,,3.0,0.049727346404461414,HOLD,2025-01-31,1.0,,,,,,,26.2
mid,Kotak Emerging Equity Fund(G),0.9386302486729488,0.9760729513618696,,4.0,0.10229147690065421,HOLD,2025-01-31,1.0,,,,,,,
mid,LIC MF Midcap Fund(G),0.9218500827419364,0.925527271138852,,4.0,0.07785777274905037,HOLD,2025-01-31,1.0,,,,,,,
mid,Mahindra Manulife Mid Cap Fund-Reg(G),0.9818244689935973,0.9361136770828088,,4.0,0.020260618134366082,HOLD,2025-01-31,1.0,,,,,,,
mid,Mirae Asset Midcap Fund-Reg(G),0.9502194653405549,0.8757729146585809,,4.0,-0.04013835986918868,SELL,2025-01-31,1.0,,,,,,,
mid,Motilal Oswal Midcap Fund-Reg(G),0.9184762251386044,1.0647609603671844,,1.0,0.18779617934543147,HOLD,2025-01-31,1.0,,,,,,,
mid,Nippon India Growth Fund(G),0.9343840657186596,0.9778238036121835,,4.0,0.04179975432037297,HOLD,2025-01-31,1.0,INDEX CORE (+ satellites),75.0,C,Low/Index-lean,False,2026-05-27,
mid,PGIM India Midcap Opp Fund-Reg(G),0.884770912107567,0.9415636503506879,,4.0,0.007528970603235541,HOLD,2025-01-31,1.0,,,,,,,
mid,Quant Mid Cap Fund(G),0.9431530284756708,0.7875676155953822,,4.0,-0.048700542607444275,SELL,2025-01-31,1.0,INDEX CORE (+ satellites),100.0,C,Low/Index-lean,False,2026-05-27,
mid,SBI Magnum Midcap Fund-Reg(G),0.7574868540990927,0.8789243153668662,25.0,4.0,0.037317538259486804,HOLD,2025-01-31,1.0,,,,,,,
mid,Sundaram Mid Cap Fund-Reg(G),0.9050107563946876,0.9991221852070722,,4.0,0.07234947240777312,HOLD,2025-01-31,1.0,,,,,,,
mid,Tata Mid Cap Growth Fund-Reg(G),0.8928206537301675,0.8329430644139731,,4.0,0.004327290029486397,HOLD,2025-01-31,1.0,,,,,,,
mid,Taurus Mid Cap Fund-Reg(G),1.049399821258471,0.9024874524932733,,3.0,-0.10940781144379486,HOLD,2025-01-31,1.0,,,,,,,
mid,Union Midcap Fund-Reg(G),0.9789450906640553,0.9529408485794536,,4.0,0.010437315322248786,HOLD,2025-01-31,1.0,,,,,,,
mid,WOC Mid Cap Fund-Reg(G),0.9287974563592204,1.0547340057097416,,1.0,0.05727608537876927,HOLD,2025-01-31,1.0,,,,,,,28.8
flexi,360 ONE Flexicap Fund-Reg(G),1.0045067238279477,0.9873119895765617,,3.0,0.08122704820595406,HOLD,2025-01-31,1.0,,,,,,,18.9
flexi,Aditya Birla SL Flexi Cap Fund(G),0.9060347241313194,1.0072070345882898,18.0,1.0,0.03322457230602116,HOLD,2025-01-31,1.0,,,,,,,
flexi,Axis Flexi Cap Fund-Reg(G),0.9757838970305525,1.0733337432654677,10.0,1.0,0.060171143464581966,HOLD,2025-01-31,1.0,,,,,,,
flexi,Bajaj Finserv Flexi Cap Fund-Reg(G),0.8678194199851753,0.992930868073755,23.0,4.0,0.07512319228759834,HOLD,2025-01-31,1.0,,,,,,,17.6
flexi,Bandhan Flexi Cap Fund-Reg(G),0.8840986388449911,0.9579420118055317,30.0,4.0,0.022981751408974516,HOLD,2025-01-31,1.0,,,,,,,
flexi,Bank of India Flexi Cap Fund-Reg(G),1.1772640669254468,1.0447016007581722,,4.0,0.03846517952560813,HOLD,2025-01-31,1.0,,,,,,,
flexi,Baroda BNP Paribas Flexi Cap Fund-Reg(G),0.9940792303199155,0.9942537899847396,20.0,4.0,0.02125159689172773,HOLD,2025-01-31,1.0,,,,,,,29.4
flexi,Canara Rob Flexi Cap Fund-Reg(G),0.9180992482401445,0.9964623421715768,19.0,4.0,0.031020315091921713,HOLD,2025-01-31,1.0,,,,,,,
flexi,Edelweiss Flexi Cap Fund-Reg(G),1.025362008273081,1.055132307705085,,4.0,0.06383031245401583,HOLD,2025-01-31,1.0,,,,,,,
flexi,Franklin India Flexi Cap Fund(G),0.9129706743017445,0.9923972528157091,24.0,4.0,0.04012861969447945,HOLD,2025-01-31,1.0,ACTIVE,33.0,C,Low/Index-lean,False,2026-05-27,
flexi,HDFC Flexi Cap Fund(G),0.758787407590679,1.0216165113675475,15.0,1.0,0.08840210112113245,HOLD,2025-01-31,1.0,ACTIVE,83.0,A,High,False,2026-05-27,
flexi,Helios Flexi Cap Fund-Reg(G),0.9979129227079636,1.0959422437801605,7.0,1.0,0.05615016444360288,HOLD,2025-01-31,1.0,,,,,,,14.6
flexi,HSBC Flexi Cap Fund-Reg(G),1.0701005204944276,1.1035008280959568,,4.0,0.05529334259721641,HOLD,2025-01-31,1.0,,,,,,,
flexi,ICICI Pru Flexicap Fund(G),0.9468184610989598,0.9858802572904363,26.0,4.0,0.050579844848892996,HOLD,2025-01-31,1.0,ACTIVE,67.0,B,Medium,False,2026-05-27,
flexi,Invesco India Flexi Cap Fund-Reg(G),1.01217870628273,1.15002830628471,,4.0,0.10084616086193754,HOLD,2025-01-31,1.0,,,,,,,
flexi,ITI Flexi Cap Fund-Reg(G),1.1207417546562843,1.058786244828736,,4.0,0.013892549163470935,HOLD,2025-01-31,1.0,,,,,,,23.3
flexi,JM Flexicap Fund-Reg(G),1.0695249284005204,0.9733445310934041,,3.0,0.08873007972795266,HOLD,2025-01-31,1.0,,,,,,,
flexi,Kotak Flexicap Fund(G),0.9786376830649918,0.9940976686194581,21.0,4.0,0.04185814572950486,HOLD,2025-01-31,1.0,ACTIVE,100.0,A,High,False,2026-05-27,
flexi,LIC MF Flexi Cap Fund-Reg(G),1.0581286561687009,1.021446856236789,,4.0,0.018079345501158972,HOLD,2025-01-31,1.0,,,,,,,
flexi,Mahindra Manulife Flexi Cap Fund-Reg(G),0.9556598336572415,0.9343376649917209,32.0,4.0,-0.01376500010505266,SELL,2025-01-31,1.0,,,,,,,
flexi,Mirae Asset Flexi Cap Fund-Reg(G),0.9700185614368013,1.0909524756822486,9.0,1.0,0.020477592618416196,HOLD,2025-01-31,1.0,,,,,,,23.3
flexi,Motilal Oswal Flexi Cap Fund-Reg(G),1.0847188096737457,1.2852407601640985,,4.0,0.16250951533375257,HOLD,2025-01-31,1.0,,,,,,,
flexi,Navi Flexi Cap Fund-Reg(G),0.9321752685566124,0.9162974627957042,33.0,4.0,-0.036593147238829005,SELL,2025-01-31,1.0,,,,,,,
flexi,Nippon India Flexi Cap Fund-Reg(G),1.0326039831268143,0.9832342662604189,,3.0,-0.011152630664550633,HOLD,2025-01-31,1.0,,,,,,,
flexi,NJ Flexi Cap Fund-Reg(G),1.000656809371128,0.7515191624182184,,3.0,-0.04690357831602232,HOLD,2025-01-31,1.0,,,,,,,16.9
flexi,Parag Parikh Flexi Cap Fund-Reg(G),0.5794764952653834,1.1652353680610572,3.0,1.0,0.1163419235349945,BUY,2025-01-31,1.0,,,,,,,
flexi,PGIM India Flexi Cap Fund-Reg(G),0.9682944871719945,1.095642874983373,8.0,1.0,0.021906680654664612,HOLD,2025-01-31,1.0,,,,,,,
flexi,Quant Flexi Cap Fund(G),1.0838153865546496,0.8232616147307551,,3.0,-0.07052555666626947,HOLD,2025-01-31,1.0,ACTIVE,50.0,B,Medium,False,2026-05-27,
flexi,Samco Flexi Cap Fund-Reg(G),1.2747524775161798,0.915499816848894,,3.0,-0.22111615406312501,HOLD,2025-01-31,1.0,,,,,,,
flexi,SBI Flexicap Fund-Reg(G),0.8486340561841669,0.9719088240027413,29.0,4.0,0.0003383795506772813,HOLD,2025-01-31,1.0,,,,,,,
flexi,Shriram Flexi Cap Fund-Reg(G),1.134396511791863,0.8155735855754254,,3.0,-0.13159433611851068,HOLD,2025-01-31,1.0,,,,,,,
flexi,Sundaram Flexi Cap Fund-Reg(G),0.8718959697929968,1.0399423411208129,14.0,1.0,0.027470433691806573,HOLD,2025-01-31,1.0,,,,,,,28.9
flexi,Tata Flexi Cap Fund-Reg(G),0.855079271803614,0.9931134368314488,22.0,4.0,0.022421365848035446,HOLD,2025-01-31,1.0,,,,,,,
flexi,Taurus Flexi Cap Fund-Reg(G),1.0323480597371546,0.9569741041771103,,3.0,-0.005303563737012906,HOLD,2025-01-31,1.0,,,,,,,
flexi,TRUSTMF Flexi Cap Fund-Reg(G),0.9626689941103319,1.1841672917272479,2.0,1.0,,BUY,2025-01-31,1.0,,,,,,,9.2
