category,verdict,style,rank,fund,qfra_score,merit_grade,sentinel,conviction,new_fund,loser_flags,cat_beatTRI_pct,hit_3y_pct,down_capture,AUM_Cr,asof
Large Cap,INDEX CORE (+ satellites),universal lean (momentum/quality),1,HSBC Large Cap Fund(G),100,C,clear,Low/Index-lean,False,0,47,43,0.99,,2026-05-27
Large Cap,INDEX CORE (+ satellites),universal lean (momentum/quality),2,Invesco India Largecap Fund(G),88,C,clear,Low/Index-lean,False,0,47,68,0.97,1255.0,2026-05-27
Large Cap,INDEX CORE (+ satellites),universal lean (momentum/quality),3,Nippon India Large Cap Fund(G),75,C,clear,Low/Index-lean,False,0,47,70,0.94,,2026-05-27
Large Cap,INDEX CORE (+ satellites),universal lean (momentum/quality),4,Franklin India Bluechip Fund(G),62,C,flagged(1),Low/Index-lean,False,1,47,32,0.89,7789.0,2026-05-27
Large Cap,INDEX CORE (+ satellites),universal lean (momentum/quality),5,Aditya Birla SL Frontline Equity Fund(G),50,C,flagged(1),Low/Index-lean,False,1,47,56,0.92,29395.0,2026-05-27
Large & Mid Cap,ACTIVE,universal lean (momentum/quality),1,ICICI Pru Large & Mid Cap Fund(G),100,A,clear,High,False,0,83,41,0.8,17120.0,2026-05-27
Large & Mid Cap,ACTIVE,universal lean (momentum/quality),2,Franklin India Equity Advantage Fund(G),80,A,flagged(1),High,False,1,83,11,0.88,3518.0,2026-05-27
Large & Mid Cap,ACTIVE,universal lean (momentum/quality),3,Kotak Equity Opp Fund(G),60,B,flagged(1),Medium,False,1,83,74,0.97,25034.0,2026-05-27
Large & Mid Cap,ACTIVE,universal lean (momentum/quality),4,Nippon India Vision Fund(G),40,B,flagged(1),Medium,False,1,83,31,0.97,,2026-05-27
Large & Mid Cap,ACTIVE,universal lean (momentum/quality),5,Invesco India Large & Mid Cap Fund(G),20,C,flagged(1),Low/Index-lean,False,1,83,60,0.98,6149.0,2026-05-27
Mid Cap,INDEX CORE (+ satellites),universal lean (momentum/quality),1,Quant Mid Cap Fund(G),100,C,clear,Low/Index-lean,False,0,44,49,0.92,,2026-05-27
Mid Cap,INDEX CORE (+ satellites),universal lean (momentum/quality),2,Aditya Birla SL Midcap Fund(G),88,C,clear,Low/Index-lean,False,0,44,18,0.86,6015.0,2026-05-27
Mid Cap,INDEX CORE (+ satellites),universal lean (momentum/quality),3,Nippon India Growth Fund(G),75,C,clear,Low/Index-lean,False,0,44,57,0.93,,2026-05-27
Mid Cap,INDEX CORE (+ satellites),universal lean (momentum/quality),4,ICICI Pru Midcap Fund(G),62,C,clear,Low/Index-lean,False,0,44,17,0.96,6330.0,2026-05-27
Mid Cap,INDEX CORE (+ satellites),universal lean (momentum/quality),5,Franklin India Prima Fund(G),50,C,clear,Low/Index-lean,False,0,44,20,0.86,12318.0,2026-05-27
Flexi Cap,ACTIVE,universal lean (momentum/quality),1,Kotak Flexicap Fund(G),100,A,clear,High,False,0,76,67,0.98,50582.0,2026-05-27
Flexi Cap,ACTIVE,universal lean (momentum/quality),2,HDFC Flexi Cap Fund(G),83,A,clear,High,False,0,76,58,0.76,64929.0,2026-05-27
Flexi Cap,ACTIVE,universal lean (momentum/quality),3,ICICI Pru Flexicap Fund(G),67,B,flagged(1),Medium,False,1,76,100,0.9,16768.0,2026-05-27
Flexi Cap,ACTIVE,universal lean (momentum/quality),4,Quant Flexi Cap Fund(G),50,B,flagged(1),Medium,False,1,76,85,1.03,,2026-05-27
Flexi Cap,ACTIVE,universal lean (momentum/quality),5,Franklin India Flexi Cap Fund(G),33,C,flagged(1),Low/Index-lean,False,1,76,66,0.9,17450.0,2026-05-27
Multi Cap,ACTIVE,universal lean (momentum/quality),1,Invesco India Multicap Fund(G),100,A,clear,High,False,0,70,54,0.99,3810.0,2026-05-27
Multi Cap,ACTIVE,universal lean (momentum/quality),2,ICICI Pru Multicap Fund(G),80,A,clear,High,False,0,70,65,0.84,14152.0,2026-05-27
Multi Cap,ACTIVE,universal lean (momentum/quality),3,Sundaram Multi Cap Fund(G),60,B,flagged(1),Medium,False,1,70,6,0.89,2759.0,2026-05-27
Multi Cap,ACTIVE,universal lean (momentum/quality),4,Quant Active Fund(G),40,B,flagged(1),Medium,False,1,70,73,1.05,,2026-05-27
Multi Cap,ACTIVE,universal lean (momentum/quality),5,Nippon India Multi Cap Fund(G),20,D,flagged(2),Low/Index-lean,False,2,70,43,0.9,,2026-05-27
Small Cap,ACTIVE,universal lean (momentum/quality),1,Aditya Birla SL Small Cap Fund(G),100,A,clear,High,False,0,80,40,0.84,5181.0,2026-05-27
Small Cap,ACTIVE,universal lean (momentum/quality),2,Sundaram Small Cap Fund(G),83,A,clear,High,False,0,80,39,0.78,3450.0,2026-05-27
Small Cap,ACTIVE,universal lean (momentum/quality),3,Kotak Small Cap Fund(G),67,B,flagged(1),Medium,False,1,80,74,0.74,17593.0,2026-05-27
Small Cap,ACTIVE,universal lean (momentum/quality),4,Franklin India Smaller Cos Fund(G),50,B,flagged(1),Medium,False,1,80,76,0.81,13944.0,2026-05-27
Small Cap,ACTIVE,universal lean (momentum/quality),5,ICICI Pru Smallcap Fund(G),33,C,flagged(1),Low/Index-lean,False,1,80,50,0.7,8435.0,2026-05-27
Focused,ACTIVE,universal lean (momentum/quality),1,360 ONE Focused Fund,100,A,clear,High,False,0,70,85,0.95,,2026-05-27
