symbol,is_financial,sales_growth_pct,pat_growth_pct,opm_prev_pct,opm_latest_pct,d_pbt,eff_volume,eff_margin,eff_other_income,eff_finance_dep,bridge_residual,oi_share_of_growth,oi_pct_of_pbt,oi_driven_growth,oi_level_high,oi_spike
NMDC,False,34.2,11.0,34.1,28.9,1006.0,2783.6,-1673.6,-103.0,0.0,-1.0,-0.102,14.7,,,
SAATVIKGL,False,110.8,57.9,14.9,11.9,162.0,356.6,-136.6,4.0,-62.0,-0.0,0.025,8.1,,,
EMMVEE,False,116.2,177.0,30.9,34.3,855.0,838.8,173.2,29.0,-187.0,1.0,0.034,4.0,,,
NATIONALUM,False,6.3,9.5,44.7,44.4,671.0,471.8,-51.8,309.0,-58.0,-0.0,0.461,8.6,,,
SANDUMA,False,62.3,32.5,24.9,23.8,203.0,487.2,-60.2,-38.0,-186.0,0.0,-0.187,5.1,,,
BANCOINDIA,False,21.3,20.6,19.0,17.5,110.0,129.9,-59.9,77.0,-38.0,1.0,0.7,18.6,Y,,Y
SUZLON,False,53.6,67.4,17.1,18.1,975.0,999.4,159.6,83.0,-266.0,-1.0,0.085,7.4,,,
WAAREEENER,False,83.7,97.0,18.8,22.3,2487.0,2278.9,908.1,15.0,-716.0,1.0,0.006,8.2,,,
SHRIPISTON,False,25.6,10.1,20.4,19.6,69.0,185.4,-33.4,-26.0,-57.0,0.0,-0.377,11.3,,,
WEBELSOLAR,False,82.4,85.1,44.0,40.9,165.0,208.6,-32.6,7.0,-18.0,0.0,0.042,2.5,,,
WAAREERTL,False,108.4,113.3,19.5,19.2,340.0,337.3,-7.3,9.0,-1.0,2.0,0.026,3.1,,,
GOKULAGRO,False,23.1,49.2,2.7,2.8,160.0,122.2,25.8,6.0,6.0,0.0,0.037,8.2,,,
WELCORP,False,20.0,-5.1,12.0,13.3,-115.0,336.4,215.6,-770.0,104.0,-1.0,,22.3,,,
SONACOMS,False,25.5,5.5,27.3,24.3,44.0,246.2,-132.2,-44.0,-27.0,1.0,-1.0,8.6,,,
UTLSOLAR,False,72.3,91.5,16.2,18.5,195.0,180.0,61.0,-3.0,-43.0,-0.0,-0.015,1.5,,,
BSE,True,50.5,88.8,58.4,63.7,1557.0,947.3,255.7,370.0,-14.0,-2.0,0.238,11.8,,,
QPOWER,False,181.0,92.9,19.3,18.6,104.0,117.7,-6.7,6.0,-13.0,0.0,0.058,27.8,,Y,
ZYDUSLIFE,False,16.8,9.9,30.4,31.2,594.0,1186.2,230.8,-57.0,-765.0,-1.0,-0.096,-0.1,,,
TRITURBINE,False,8.7,-3.3,21.9,20.6,-16.0,38.3,-28.3,-20.0,-5.0,-1.0,,12.9,,,
OSWALPUMPS,False,44.3,31.2,29.4,24.9,115.0,186.2,-92.2,18.0,4.0,-1.0,0.157,4.1,,,
BAJAJ-AUTO,False,23.4,36.5,18.7,20.8,3728.0,2231.6,1310.4,1196.0,-1011.0,1.0,0.321,19.1,,,
POLYCAB,False,28.9,33.8,13.2,13.9,912.0,856.6,192.4,25.0,-162.0,-0.0,0.027,6.3,,,
JAMNAAUTO,False,15.1,25.0,13.4,15.2,64.0,46.0,45.0,-5.0,-22.0,-0.0,-0.078,-0.6,,,
BLS,False,36.7,31.5,29.6,27.3,191.0,238.2,-68.2,15.0,7.0,-1.0,0.079,11.9,,,
MCX,True,106.8,141.8,59.7,71.3,991.0,710.4,266.6,29.0,-14.0,-1.0,0.029,7.5,,,
TIPSMUSIC,False,20.9,30.9,66.6,73.4,69.0,43.3,25.7,0.0,0.0,0.0,0.0,6.5,,,
KIRLPNU,False,9.0,20.3,17.9,20.1,57.0,26.4,39.6,-4.0,-4.0,-1.0,-0.07,4.1,,,
HEROMOTOCO,False,15.9,25.3,14.1,14.9,1502.0,917.8,352.2,270.0,-37.0,-1.0,0.18,17.6,,,
SHYAMMETL,False,22.6,17.8,12.3,12.6,221.0,420.8,46.2,-27.0,-219.0,0.0,-0.122,14.0,,,
EMCURE,False,16.6,32.5,18.6,20.3,316.0,243.3,152.7,-81.0,1.0,-0.0,-0.256,-1.5,,,
JAINREC,False,33.9,54.4,5.3,5.8,166.0,127.2,55.8,-12.0,-4.0,-1.0,-0.072,5.1,,,
KALYANKJIL,False,42.7,87.7,6.3,7.0,842.0,677.0,229.0,27.0,-91.0,-0.0,0.032,9.3,,,
ANGELONE,True,-1.9,-20.1,37.9,35.4,-320.0,-38.2,-124.8,7.0,-164.0,-0.0,,1.2,,,
MOTHERSON,False,10.9,6.9,9.5,9.6,364.0,1177.7,186.3,-618.0,-383.0,1.0,-1.698,4.6,,,
ANANDRATHI,True,27.9,32.3,45.0,46.8,131.0,122.9,22.1,-1.0,-13.0,0.0,-0.008,0.0,,,
ASHAPURMIN,False,91.2,46.4,13.8,10.6,141.0,343.8,-165.8,39.0,-77.0,1.0,0.277,31.5,,Y,
ARE&M,False,7.5,-5.2,12.6,10.9,-66.0,122.2,-239.2,131.0,-82.0,2.0,,29.2,,Y,Y
LLOYDSME,False,154.6,175.5,29.1,36.3,3336.0,3024.4,1224.6,95.0,-1009.0,1.0,0.028,2.8,,,
TRANSRAILL,False,29.6,21.4,14.6,11.9,100.0,229.8,-185.8,-16.0,71.0,1.0,-0.16,5.6,,,
COALINDIA,False,17.5,-10.7,32.8,24.5,-5043.0,8217.0,-14039.0,2102.0,-1324.0,1.0,,28.7,,Y,
EIEL,False,7.5,3.7,25.1,24.2,9.0,20.1,-11.1,15.0,-15.0,-0.0,1.667,13.6,Y,,
PREMIERENE,False,20.0,59.1,27.3,30.4,733.0,356.5,239.5,73.0,65.0,-1.0,0.1,10.5,,,
NAM-INDIA,True,16.1,16.4,68.7,68.7,278.0,278.8,2.2,6.0,-9.0,0.0,0.022,0.5,,,
FIEMIND,False,16.2,23.6,13.3,14.1,65.0,52.2,21.8,1.0,-9.0,-1.0,0.015,6.2,,,
NETWEB,False,90.1,79.9,13.9,13.0,123.0,144.1,-19.1,10.0,-12.0,0.0,0.081,6.9,,,
INOXINDIA,False,21.5,14.4,21.8,21.6,43.0,61.3,-3.3,-6.0,-9.0,0.0,-0.14,12.3,,,
ATLANTAELE,False,48.9,73.6,15.6,18.6,117.0,94.8,55.2,8.0,-43.0,2.0,0.068,5.1,,,
