symbol,sector,cyclicality_tag,market_cap_approx,roe,roce,debt_equity,interest_coverage,revenue_cagr_3y,revenue_growth_1y,pe_current,ret_3m,ret_6m,ret_12m,ret_24m,above_50sma,above_200sma,rsi14,obv_slope_short,obv_slope_long,turnover_median_60d,ownership_flow_long,ownership_flow_short,pe_for_ranking,roe_pct,roce_pct,quality_score,growth_3y_score,growth_1y_score,growth_divergence_flag,value_score,stage_3y_score,stage_timing_tag,stage_1y_score,sector_macro_3y_score,sector_macro_1y_score,ownership_3y_score,ownership_1y_score,accumulation_3y_score,accumulation_1y_score,composite_3y,coverage_3y,composite_1y,coverage_1y,bs_flag,mcap_tercile,min_turnover,liquidity_flag,final_score_3y,final_score_1y,recommendation_3y,recommendation_1y,coverage_flag_3y,coverage_flag_1y,ttm_growth,ttm_eps_src,latest_qtr,stale_flag,zero_cov_flag,recommendation_overall
SKFINDUS,Capital Goods,Cyclical,13351.818972415826,0.14769647696476965,0.26333558406482105,0.0033875338753387536,,,,0.035304545748979864,0.14751794593587153,0.05611955471130714,,,True,,50.26313486023309,680112.0,,54392417.60522461,,,0.035304545748979864,53.271028037383175,82.4074074074074,67.83921772239529,,,False,78.50801068090789,,Neutral,64.55225794254812,85.89161118508655,77.5027962716378,,,,34.66666666666667,76.83503207346024,42.857142857142854,69.28248096604457,71.42857142857143,GREEN,Mid,10000000.0,GREEN,79.83503207346024,72.28248096604457,Hold,Hold,Med,High,annual,ttm(Mar 2026),Mar 2026,False,False,Hold
NMDC,Metals & Mining,Cyclical,73954.66512884975,0.2428223837801559,0.2940461949982416,0.18809817391814926,76.52892561983471,21.987846401879363,34.15460553835856,9.915094555548901,-0.05421821835876017,0.0549918993567351,0.2722124514934785,0.09756764105102445,False,True,40.73389657181471,-37399451.0,474590646.0,1776042352.3953247,-0.43999999999999967,-0.33499999999999996,9.915094555548901,79.16666666666666,95.83333333333334,87.5,76.43410852713178,87.23118279569893,False,82.32977303070761,69.46140693698094,Neutral,24.276610342818525,94.9462050599201,6.26444740346205,8.235294117647058,16.470588235294116,95.7592339261286,3.0666666666666664,76.82714459683737,100.0,48.40470092621953,100.0,GREEN,Large,50000000.0,GREEN,79.82714459683737,51.40470092621953,Hold,Hold,High,High,ttm(Mar 2026),ttm(Mar 2026),Mar 2026,False,False,Hold
SAATVIKGL,Capital Goods,Cyclical,5926.504725046067,0.49516382431025074,0.2689226773896289,0.6899338721528288,7.633802816901408,95.46442268389004,110.79703429101019,15.791877966040081,0.005602857821161322,0.16750057454282796,,,True,True,54.393309469235255,92669.0,-1493020.0,52569984.27697754,,,15.791877966040081,97.19626168224299,85.18518518518519,91.19072343371408,99.06976744186046,99.05913978494624,True,61.00231202579048,,Neutral,49.11384365625108,85.89161118508655,77.5027962716378,,,16.27906976744186,28.799999999999997,76.43610763332518,71.42857142857143,69.40564132225538,85.71428571428571,GREEN,Small,2500000.0,GREEN,79.43610763332518,72.40564132225538,Hold,Hold,High,High,ttm(Mar 2026),ttm(Mar 2026),Mar 2026,False,False,Hold
UJJIVANSFB,Financial Services,NotCyclical,12738.000533160042,0.18089593270513177,,0.5481220657276995,,,9.080893925086553,18.38095315030309,0.14300649574971236,0.13686766040894183,0.38031134797789745,0.511115316000988,True,True,66.12101124432625,212263012.0,274840256.0,661731177.811552,1.158333333333333,-1.2799999999999998,18.38095315030309,76.47058823529412,,76.47058823529412,,37.096774193548384,False,73.51574456999577,83.15628528581489,Neutral,68.52343606565002,47.73288948069241,28.957922769640476,83.69747899159664,5.2100840336134455,91.51846785225717,96.93333333333334,75.79291190877323,85.71428571428571,57.178585439859624,100.0,N/A-financial-sector,Mid,10000000.0,GREEN,78.79291190877323,60.178585439859624,Hold,Hold,High,High,ttm(Mar 2026),ttm(Mar 2026),Mar 2026,False,False,Hold
MAHABANK,Financial Services,NotCyclical,61160.231908999,0.1935383787334854,,1.060466516177577,,,15.826539595054934,8.111224271813217,0.06833515919444455,0.2594784127417391,0.46432671328639885,0.3361194287095979,False,True,38.702535955848354,123646260.0,731471430.0,1166602414.8445473,0.3149999999999999,1.085,8.111224271813217,78.15126050420169,,78.15126050420169,,60.08064516129033,False,79.89771672965084,83.67885697700021,Neutral,32.38061876437843,47.73288948069241,28.957922769640476,58.82352941176471,80.16806722689076,97.40082079343365,95.06666666666666,75.56820071611462,85.71428571428571,60.2465828335268,100.0,N/A-financial-sector,Large,50000000.0,GREEN,78.56820071611462,63.2465828335268,Hold,Hold,High,High,ttm(Jun 2026),ttm(Jun 2026),Jun 2026,False,False,Hold
EMMVEE,Capital Goods,Cyclical,25307.85573649193,0.2028487358568484,0.18670406189193928,0.09745533297238766,11.187096774193549,101.41924683267591,84.0924092409241,19.249210015991338,0.3987901630556323,0.7226989954222913,,,True,,64.90736827803107,84536438.0,,965334988.593277,,,19.249210015991338,78.50467289719626,54.629629629629626,66.56715126341294,99.06976744186046,97.71505376344086,True,67.38206497552292,,Neutral,91.1156123785461,85.89161118508655,77.5027962716378,,,,92.13333333333334,78.85873884186076,57.14285714285714,81.17061096748769,85.71428571428571,GREEN,Mid,10000000.0,GREEN,77.85873884186076,80.17061096748769,Hold,Hold,Med,High,ttm(Jun 2026),ttm(Jun 2026),Jun 2026,False,False,Hold
NATIONALUM,Metals & Mining,Cyclical,65106.04311673512,0.16843117530236695,0.24992209450887692,0.002777392028884877,79.28,7.765539794311893,6.290581997974631,11.227431492145431,-0.16508696500100528,0.009167258878639784,0.9549297704358948,0.8845852729460875,False,True,46.31743249239637,-101290050.0,556590437.0,3336881094.184952,0.7266666666666662,0.9499999999999993,11.227431492145431,66.66666666666666,87.5,77.08333333333333,33.48837209302326,27.419354838709676,False,72.98295162781145,95.96206110427931,Neutral,10.968256750760363,94.9462050599201,6.26444740346205,75.46218487394958,77.64705882352942,96.85362517099864,1.0666666666666667,74.57712951182228,100.0,38.39692839732229,100.0,GREEN,Large,50000000.0,GREEN,77.57712951182228,41.39692839732229,Hold,Hold,High,High,ttm(Mar 2026),ttm(Mar 2026),Mar 2026,False,False,Hold
SANDUMA,Metals & Mining,Cyclical,9687.844737947296,0.1704832081532901,0.22322138290899352,0.3070067609096497,5.702830188679245,33.76051970645844,62.26475279106858,14.72316829475273,-0.06785695566313166,-0.12728147920276978,0.25981649606425905,0.026132690249250246,False,False,37.243227962198404,-6308176.0,169523811.0,229997708.719635,-0.03333333333333333,-0.07,14.72316829475273,70.83333333333334,79.16666666666666,75.0,87.90697674418605,95.02688172043011,True,85.59412550066756,32.81772035330649,Neutral,16.792343870446825,94.9462050599201,6.26444740346205,26.05042016806723,28.067226890756302,87.55129958960327,10.533333333333333,73.87725910217358,100.0,47.8711662173754,100.0,GREEN,Small,2500000.0,GREEN,76.87725910217358,50.8711662173754,Hold,Hold,High,High,ttm(Mar 2026),ttm(Mar 2026),Mar 2026,False,False,Hold
BANCOINDIA,Automobile and Auto Components,Cyclical,9462.541742392787,0.19556500145049416,0.2458165642651523,0.36439169139465877,29.608695652173914,18.657939003056924,21.25739184562714,19.631829341063874,0.058004639238235844,0.043662911486976874,0.033435174989289385,1.0711125037782683,True,True,48.67501589471598,4041661.0,30922133.0,100343148.46121216,0.2933333333333333,0.08999999999999997,19.631829341063874,78.26086956521739,73.91304347826086,76.08695652173913,68.06201550387597,72.31182795698925,False,78.0358997181427,60.72392921397298,Neutral,51.67138729941729,100.0,53.26844207723036,57.98319327731093,42.6890756302521,61.83310533515732,53.6,73.78636123286802,100.0,62.62186050810626,100.0,GREEN,Small,2500000.0,GREEN,76.78636123286802,65.62186050810627,Hold,Hold,High,High,ttm(Mar 2026),ttm(Mar 2026),Mar 2026,False,False,Hold
SUZLON,Capital Goods,Cyclical,70549.83427514334,0.8672025504482223,0.14807850505099024,0.05874894336432798,6.541125541125541,40.98305859156086,53.64554637281911,22.30472155394984,-0.010095214843749978,0.06736501718024068,-0.21162010521435337,-0.05851448365205292,False,True,34.29409366897889,394735946.0,762667917.0,4034030956.549282,0.2666666666666669,3.750000000000001,22.30472155394984,99.53271028037383,30.555555555555557,65.0441329179647,91.62790697674419,93.41397849462365,False,77.18958611481975,29.197696613676367,Pulled back,22.59638428389576,85.89161118508655,77.5027962716378,56.30252100840336,95.96638655462185,97.67441860465115,99.06666666666666,72.82050980384142,100.0,67.30438084887824,100.0,GREEN,Large,50000000.0,GREEN,75.82050980384142,70.30438084887824,Hold,Hold,High,High,ttm(Mar 2026),ttm(Mar 2026),Mar 2026,False,False,Hold
