symbol,sector,cyclicality_tag,market_cap_approx,roe,roce,debt_equity,interest_coverage,revenue_cagr_3y,revenue_growth_1y,pe_current,ret_3m,ret_6m,ret_12m,ret_24m,above_50sma,above_200sma,rsi14,obv_slope_short,obv_slope_long,turnover_median_60d,ownership_flow_long,ownership_flow_short,pe_for_ranking,roe_pct,roce_pct,quality_score,growth_3y_score,growth_1y_score,growth_divergence_flag,value_score,stage_3y_score,stage_timing_tag,stage_1y_score,sector_macro_3y_score,sector_macro_1y_score,ownership_3y_score,ownership_1y_score,accumulation_3y_score,accumulation_1y_score,composite_3y,coverage_3y,composite_1y,coverage_1y,bs_flag,mcap_tercile,min_turnover,liquidity_flag,final_score_3y,final_score_1y,recommendation_3y,recommendation_1y,coverage_flag_3y,coverage_flag_1y,ttm_growth,ttm_eps_src,latest_qtr,stale_flag,zero_cov_flag,recommendation_overall,growth_artifact_flag,rev_growth_1y_m2m,rev_cagr_3y_m2m,growth_source_v3,history_class,listing_return_pctile,listing_window_months,pillars_observed,imputation_applied,quality_score_v3,growth_3y_score_v3,value_score_v3,stage_3y_score_v3,sector_macro_3y_score_v3,ownership_3y_score_v3,accumulation_3y_score_v3,redflag_count_v3,penalty_v3,boost_v3,bs_flag_v3,final_score_3y_v3,final_score_1y_v3,base_score_v3,revenue_rescue,expected_rev_growth_pct,fwd_growth_input_pct,fwd_growth_points,conviction_points,forward_adjustment,analyst_call,ionic_score_v3,recommendation_v3,trim_eligible_v3,analyst_conversion,thin_history_flag,oi_driven_growth,oi_level_high,oi_spike,oi_pct_of_pbt,eff_margin,eff_other_income
SKFINDUS,Capital Goods,Cyclical,13351.818972415826,0.1476964769647696,0.263335584064821,0.0033875338753387,,,,0.0353045457489798,0.1475179459358715,0.0561195547113071,,,True,,50.26313486023309,680112.0,,54392417.60522461,,,0.0353045457489798,53.271028037383175,82.4074074074074,67.83921772239529,,,False,78.50801068090789,,Neutral,64.55225794254812,85.89161118508655,77.5027962716378,,,,34.66666666666667,76.83503207346024,42.85714285714285,69.28248096604457,71.42857142857143,GREEN,Mid,10000000.0,GREEN,79.83503207346024,72.28248096604457,Hold,Hold,Med,High,annual,ttm(Mar 2026),Mar 2026,False,False,Hold,,,,engine TTM (no FY pair),<1y,48.13333333333333,6.0,3,"stage_3y<-1y,accumulation_3y<-1y",67.83921772239529,,78.50801068090789,64.55225794254812,85.89161118508655,,34.66666666666667,0,-0.0,3,GREEN,67.74,68.04,67.86,,,11.0,0.0,0.0,0.0,Hold,67.86,Hold,,,<1y,,,,,,
NMDC,Metals & Mining,Cyclical,73954.66512884975,0.2428223837801559,0.2940461949982416,0.1880981739181492,76.52892561983471,21.987846401879363,34.15460553835856,9.9150945555489,-0.0542182183587601,0.0549918993567351,0.2722124514934785,0.0975676410510244,False,True,40.73389657181471,-37399451.0,474590646.0,1776042352.3953247,-0.4399999999999996,-0.3349999999999999,9.9150945555489,79.16666666666666,95.83333333333334,87.5,76.43410852713178,87.23118279569893,False,82.32977303070761,69.46140693698094,Neutral,24.276610342818525,94.9462050599201,6.26444740346205,8.235294117647058,16.470588235294116,95.7592339261286,3.0666666666666664,76.82714459683737,100.0,48.40470092621953,100.0,GREEN,Large,50000000.0,GREEN,79.82714459683737,51.40470092621953,Hold,Hold,High,High,ttm(Mar 2026),ttm(Mar 2026),Mar 2026,False,False,Hold,,34.15460553835856,21.987846401879363,March-to-March,full,,,7,,87.5,75.72674418604652,82.32977303070761,69.46140693698094,94.9462050599201,8.235294117647058,95.7592339261286,0,-0.0,3,GREEN,79.7,51.33,68.35,,,12.0,0.0,0.0,0.0,Hold,68.35,Hold,,,,,,,14.7,-1673.6,-103.0
SAATVIKGL,Capital Goods,Cyclical,5926.504725046067,0.4951638243102507,0.2689226773896289,0.6899338721528288,7.633802816901408,95.46442268389004,110.7970342910102,15.79187796604008,0.0056028578211613,0.1675005745428279,,,True,True,54.393309469235255,92669.0,-1493020.0,52569984.27697754,,,15.79187796604008,97.196261682243,85.18518518518519,91.19072343371408,99.06976744186046,99.05913978494624,True,61.00231202579048,,Neutral,49.11384365625108,85.89161118508655,77.5027962716378,,,16.27906976744186,28.8,76.43610763332518,71.42857142857143,69.40564132225538,85.71428571428571,GREEN,Small,2500000.0,GREEN,79.43610763332518,72.40564132225538,Hold,Hold,High,High,ttm(Mar 2026),ttm(Mar 2026),Mar 2026,False,False,Hold,,110.7506950880445,95.46442268389004,March-to-March,<1y,29.379310344827587,9.0,5,stage_3y<-1y,91.19072343371408,99.05523255813954,61.00231202579048,49.11384365625108,85.89161118508655,,16.27906976744186,0,-0.0,3,GREEN,73.78,70.85,72.61,,,20.0,10.0,0.0,10.0,Hold,82.61,Hold,,,<1y,,,,8.1,-136.6,4.0
UJJIVANSFB,Financial Services,NotCyclical,12738.000533160042,0.1808959327051317,,0.5481220657276995,,,9.080893925086553,18.38095315030309,0.1430064957497123,0.1368676604089418,0.3803113479778974,0.511115316000988,True,True,66.12101124432625,212263012.0,274840256.0,661731177.811552,1.158333333333333,-1.2799999999999998,18.38095315030309,76.47058823529412,,76.47058823529412,,37.096774193548384,False,73.51574456999577,83.15628528581489,Neutral,68.52343606565002,47.73288948069241,28.95792276964048,83.69747899159664,5.2100840336134455,91.51846785225716,96.93333333333334,75.79291190877323,85.71428571428571,57.17858543985962,100.0,N/A-financial-sector,Mid,10000000.0,GREEN,78.79291190877323,60.17858543985962,Hold,Hold,High,High,ttm(Mar 2026),ttm(Mar 2026),Mar 2026,False,False,Hold,,-122.60869565217392,,March-to-March,full,,,6,growth_3y<-1y,76.47058823529412,1.0767160161507403,73.51574456999577,83.15628528581489,47.73288948069241,83.69747899159664,91.51846785225716,1,-1.0,0,N/A-financial-sector,58.36,49.69,54.89,,,18.0,5.0,0.0,5.0,Hold,59.89,Hold,,,Y,,,,,,
MAHABANK,Financial Services,NotCyclical,61160.231908999,0.1935383787334854,,1.060466516177577,,,15.826539595054934,8.111224271813217,0.0683351591944445,0.2594784127417391,0.4643267132863988,0.3361194287095979,False,True,38.702535955848354,123646260.0,731471430.0,1166602414.8445473,0.3149999999999999,1.085,8.111224271813217,78.15126050420169,,78.15126050420169,,60.08064516129033,False,79.89771672965084,83.67885697700021,Neutral,32.38061876437843,47.73288948069241,28.95792276964048,58.82352941176471,80.16806722689076,97.40082079343364,95.06666666666666,75.56820071611462,85.71428571428571,60.2465828335268,100.0,N/A-financial-sector,Large,50000000.0,GREEN,78.56820071611462,63.2465828335268,Hold,Hold,High,High,ttm(Jun 2026),ttm(Jun 2026),Jun 2026,False,False,Hold,,82.07031250000001,48.337275637906686,March-to-March,full,,,7,,78.15126050420169,93.75,79.89771672965084,83.67885697700021,47.73288948069241,58.82352941176471,97.40082079343364,0,-0.0,3,N/A-financial-sector,82.57,69.97,77.53,,,13.0,0.0,0.0,0.0,Hold,77.53,Hold,,,,,,,,,
EMMVEE,Capital Goods,Cyclical,25307.85573649193,0.2028487358568484,0.1867040618919392,0.0974553329723876,11.187096774193549,101.41924683267592,84.0924092409241,19.249210015991338,0.3987901630556323,0.7226989954222913,,,True,,64.90736827803107,84536438.0,,965334988.593277,,,19.249210015991338,78.50467289719626,54.629629629629626,66.56715126341294,99.06976744186046,97.71505376344086,True,67.38206497552292,,Neutral,91.1156123785461,85.89161118508655,77.5027962716378,,,,92.13333333333334,78.85873884186076,57.14285714285714,81.17061096748769,85.71428571428571,GREEN,Mid,10000000.0,GREEN,77.85873884186076,80.17061096748769,Hold,Hold,Med,High,ttm(Jun 2026),ttm(Jun 2026),Jun 2026,False,False,Hold,,116.18150684931506,101.41924683267591,March-to-March,<1y,94.53333333333333,6.0,4,"stage_3y<-1y,accumulation_3y<-1y",66.56715126341294,99.05523255813954,67.38206497552292,91.1156123785461,85.89161118508655,,92.13333333333334,0,-0.0,3,GREEN,81.79,81.86,81.82,,,22.0,10.0,0.0,10.0,Hold,91.82,Hold,,,<1y,,,,4.0,173.2,29.0
NATIONALUM,Metals & Mining,Cyclical,65106.04311673512,0.1684311753023669,0.2499220945088769,0.0027773920288848,79.28,7.765539794311893,6.290581997974631,11.227431492145431,-0.1650869650010052,0.0091672588786397,0.9549297704358948,0.8845852729460875,False,True,46.31743249239637,-101290050.0,556590437.0,3336881094.184952,0.7266666666666662,0.9499999999999992,11.227431492145431,66.66666666666666,87.5,77.08333333333333,33.48837209302326,27.41935483870968,False,72.98295162781145,95.96206110427931,Neutral,10.968256750760364,94.9462050599201,6.26444740346205,75.46218487394958,77.64705882352942,96.85362517099864,1.0666666666666669,74.57712951182228,100.0,38.39692839732229,100.0,GREEN,Large,50000000.0,GREEN,77.57712951182228,41.39692839732229,Hold,Hold,High,High,ttm(Mar 2026),ttm(Mar 2026),Mar 2026,False,False,Hold,,6.284250655229928,7.765539794311893,March-to-March,full,,,7,,77.08333333333333,33.43023255813954,72.98295162781145,95.96206110427931,94.9462050599201,75.46218487394958,96.85362517099864,0,-0.0,3,GREEN,77.57,41.65,63.2,,,5.0,-5.0,0.0,-5.0,Hold,58.2,Hold,,,,,,,8.6,-51.8,309.0
SANDUMA,Metals & Mining,Cyclical,9687.844737947296,0.1704832081532901,0.2232213829089935,0.3070067609096497,5.702830188679245,33.76051970645844,62.26475279106858,14.72316829475273,-0.0678569556631316,-0.1272814792027697,0.259816496064259,0.0261326902492502,False,False,37.2432279621984,-6308176.0,169523811.0,229997708.719635,-0.0333333333333333,-0.07,14.72316829475273,70.83333333333334,79.16666666666666,75.0,87.90697674418605,95.02688172043013,True,85.59412550066756,32.81772035330649,Neutral,16.792343870446825,94.9462050599201,6.26444740346205,26.05042016806723,28.067226890756302,87.55129958960327,10.533333333333331,73.87725910217358,100.0,47.8711662173754,100.0,GREEN,Small,2500000.0,GREEN,76.87725910217358,50.8711662173754,Hold,Hold,High,High,ttm(Mar 2026),ttm(Mar 2026),Mar 2026,False,False,Hold,,62.296650717703336,33.76051970645844,March-to-March,full,,,7,,75.0,87.79069767441861,85.59412550066756,32.81772035330649,94.9462050599201,26.05042016806723,87.55129958960327,0,-0.0,3,GREEN,76.86,50.83,66.45,,,12.0,0.0,0.0,0.0,Hold,66.45,Hold,,,,,,,5.1,-60.2,-38.0
BANCOINDIA,Automobile and Auto Components,Cyclical,9462.541742392788,0.1955650014504941,0.2458165642651523,0.3643916913946587,29.608695652173918,18.657939003056924,21.25739184562714,19.631829341063877,0.0580046392382358,0.0436629114869768,0.0334351749892893,1.0711125037782685,True,True,48.67501589471598,4041661.0,30922133.0,100343148.46121216,0.2933333333333333,0.0899999999999999,19.631829341063877,78.26086956521739,73.91304347826086,76.08695652173913,68.06201550387597,72.31182795698925,False,78.0358997181427,60.72392921397298,Neutral,51.67138729941729,100.0,53.26844207723036,57.98319327731093,42.6890756302521,61.83310533515732,53.6,73.78636123286802,100.0,62.62186050810626,100.0,GREEN,Small,2500000.0,GREEN,76.78636123286802,65.62186050810627,Hold,Hold,High,High,ttm(Mar 2026),ttm(Mar 2026),Mar 2026,False,False,Hold,,21.25739184562714,18.657939003056924,March-to-March,full,,,7,,76.08695652173913,67.15116279069767,78.0358997181427,60.72392921397298,100.0,57.98319327731093,61.83310533515732,0,-0.0,3,GREEN,76.62,65.73,72.27,,,15.0,5.0,0.0,5.0,Hold,77.27,Hold,,,,Y,,Y,18.6,-59.9,77.0
SUZLON,Capital Goods,Cyclical,70549.83427514334,0.8672025504482223,0.1480785050509902,0.0587489433643279,6.541125541125541,40.98305859156086,53.64554637281911,22.30472155394984,-0.0100952148437499,0.0673650171802406,-0.2116201052143533,-0.0585144836520529,False,True,34.29409366897889,394735946.0,762667917.0,4034030956.549282,0.2666666666666669,3.750000000000001,22.30472155394984,99.53271028037383,30.55555555555556,65.0441329179647,91.6279069767442,93.41397849462363,False,77.18958611481975,29.197696613676367,Pulled back,22.59638428389576,85.89161118508655,77.5027962716378,56.30252100840336,95.96638655462183,97.67441860465117,99.06666666666666,72.82050980384142,100.0,67.30438084887824,100.0,GREEN,Large,50000000.0,GREEN,75.82050980384142,70.30438084887824,Hold,Hold,High,High,ttm(Mar 2026),ttm(Mar 2026),Mar 2026,False,False,Hold,,53.64554637281911,40.98305859156086,March-to-March,full,,,7,,65.0441329179647,91.42441860465115,77.18958611481975,29.197696613676367,85.89161118508655,56.30252100840336,97.67441860465117,0,-0.0,3,GREEN,75.78,70.3,73.59,,,22.0,10.0,0.0,10.0,Hold,83.59,Hold,,,,,,,7.4,159.6,83.0
