company_name_cas,value_inr,norm,norm2,Symbol,Company Name,ISIN Code,symbol,sector,cyclicality_tag,market_cap_approx,roe,roce,debt_equity,interest_coverage,revenue_cagr_3y,revenue_growth_1y,pe_current,ret_3m,ret_6m,ret_12m,ret_24m,above_50sma,above_200sma,rsi14,obv_slope_short,obv_slope_long,turnover_median_60d,ownership_flow_long,ownership_flow_short,company_name,isin,book_value_per_share,avg_fcf,pb_current,fcf_yield,sector_norm,mcap_tercile,sector_tier_group,roe_pct,roce_pct,quality_score,growth_3y_score,growth_1y_score,pe_abs_pctile,pe_sector_tier_pctile,pb_sector_tier_pctile,fcf_yield_sector_tier_pctile,value_score,ret_12m_pct,ret_24m_pct,rs_12m_pct,stage_3y_score,ret_3m_pct,ret_6m_pct,rs_3m_pct,stage_1y_score,stage_timing_tag,regime_fit_adj,sector_mean_ret_12m,sector_mean_ret_3m,sector_macro_3y_score,sector_macro_1y_score,ownership_flow_3y_score,ownership_flow_1y_score,accumulation_3y_score,accumulation_1y_score,composite_3y,composite_1y,bs_flag,min_turnover,liquidity_flag,redflag_count,penalty,boost,final_3y,final_1y,final_3y_adj,final_1y_adj,recommendation_3y,recommendation_1y,recommendation
LARSEN AND TOUBRO LIMITED,3437057.3,LARSENANDTOUBRO,,LT,Larsen & Toubro Ltd.,,LT,Construction,Cyclical,612065.7222970967,0.1734284930002745,0.1508218087032075,1.1482935309726416,3.5213802704852823,15.959149368587134,11.785683561825966,32.29216641854473,-0.0645144352827382,-0.0137933726051029,0.0905568964235752,1.4819195356384611,False,False,12.593344885682283,-18022338.0,6859654.0,7977183519.893921,1.196666666666666,-0.2100000000000008,Larsen & Toubro Ltd.,INE018A01030,674.1683444127889,5108.5,5.600381757682284,0.834632591550411,construction,Large,construction_Large,65.55891238670695,34.42622950819672,49.99257094745184,57.94701986754966,44.91803278688525,51.50602409638554,51.50602409638554,42.59818731117825,49.848942598187314,49.39304043970444,63.49693251533742,92.76729559748428,63.49693251533742,36.62686010469319,22.289156626506024,38.55421686746988,22.289156626506024,17.596087198178758,Pulled back,4.6,-0.2193038515989135,-0.0650363585460176,5.955421686746988,7.160240963855421,84.79087452471484,19.771863117870723,39.14373088685015,8.433734939759036,45.79332426591831,30.044297484548416,GREEN,50000000.0,GREEN,0,0,0,45.79332426591831,30.044297484548416,45.79332426591831,30.044297484548416,Hold,Sell,Sell
BAJAJ FINANCE LIMITED,2284417.5,BAJAJFINANCE,BAJAJFINANCE,BAJFINANCE,Bajaj Finance Ltd.,INE296A01032,BAJFINANCE,financial services,NotCyclical,656377.0526186959,0.1857953239105478,,3.8168054105737768,,,,33.95287878226235,0.1375410525938254,0.1000824995319806,0.1183485055608111,0.4798298338772857,True,True,65.25610647890454,20759253.0,-32923465.0,7059168338.509094,0.4916666666666665,1.0199999999999996,Bajaj Finance Ltd.,INE296A01032,180.2094682391889,-32810.083333333336,5.757743950549529,-4.998663984737664,financial services,Large,financial services_Large,72.54901960784314,,72.54901960784314,,,48.795180722891565,30.434782608695656,17.391304347826086,26.08695652173913,31.546621267679413,66.56441717791411,78.61635220125787,64.0,69.72692312639066,69.87951807228916,61.44578313253012,72.54901960784314,66.43249628966367,Neutral,-2.6,0.0626643811533381,0.0569061228228353,48.00240963855421,48.00240963855421,68.8212927756654,76.42585551330798,7.339449541284404,74.69879518072288,52.73835520829705,60.049415286930845,N/A-financial-sector,50000000.0,GREEN,0,0,0,52.73835520829705,60.049415286930845,52.73835520829705,60.049415286930845,Hold,Hold,Hold
HINDUSTAN UNILEVER LIMITED,2055200.0,HINDUSTANUNILEVER,HINDUSTANUNILEVER,HINDUNILVR,Hindustan Unilever Ltd.,INE030A01027,HINDUNILVR,Fast Moving Consumer Goods,Defensive-Stable,493669.8036149747,0.3089722809249266,0.299480255690304,0.0303247912349453,36.68048780487805,2.0951181546343456,5.120010435690059,32.78237622783549,-0.0826398825273023,-0.0993227404334335,-0.1510740362198571,-0.0533219739921017,False,False,37.590063641109225,-20719550.0,-35684329.0,3316546682.4802246,0.0883333333333335,-0.0349999999999992,Hindustan Unilever Ltd.,INE030A01027,207.170687960688,7032.0,10.128845557253426,1.4244338925547146,fast moving consumer goods,Large,fast moving consumer goods_Large,94.11764705882352,82.35294117647058,88.23529411764704,14.90066225165563,21.639344262295083,50.30120481927711,50.0,27.77777777777778,77.77777777777779,51.18641231593039,31.901840490797547,42.138364779874216,38.88888888888889,18.82151569326011,18.67469879518072,22.289156626506024,22.22222222222222,11.772006576540573,Neutral,-2.6,0.0647931846270858,-0.0010523907869827,58.39397590361446,11.406024096385542,38.78326996197718,28.13688212927757,7.033639143730887,8.132530120481928,42.952280465258426,32.970850030136575,GREEN,50000000.0,GREEN,1,-1,0,42.952280465258426,32.970850030136575,41.952280465258426,31.970850030136575,Hold,Sell,Sell
STATE BANK OF INDIA,1436704.4,STATEBANKOFINDIA,STATEBANKOFINDIA,SBIN,State Bank of India,INE062A01020,SBIN,Financial Services,Sensitive-hybrid,990358.7651624748,0.1453807971737755,,7.610021958260852,,13.64364228199979,5.021282323740151,11.427304423447197,-0.0558192378343367,0.0208464349123222,0.2978764984763653,1.6216416344842055,True,True,44.787044397978406,-11600154.0,343871226.0,12577840408.246763,0.0749999999999998,-0.0049999999999998,State Bank of India,INE062A01020,620.7147144208801,17149.833333333332,1.6613106266281652,1.7316788558457186,financial services,Large,financial services_Large,60.78431372549019,,60.78431372549019,50.0,21.311475409836063,88.25301204819277,78.26086956521739,69.56521739130434,82.6086956521739,79.88933996856993,79.14110429447852,93.39622641509436,84.0,85.51244356985762,24.69879518072289,46.98795180722892,15.68627450980392,29.64563605945407,Neutral,-2.6,0.0626643811533381,0.0569061228228353,48.00240963855421,48.00240963855421,36.12167300380228,30.79847908745248,93.88379204892966,9.939759036144578,64.55060503371823,42.82666556389693,N/A-financial-sector,50000000.0,GREEN,0,0,3,64.55060503371823,42.82666556389693,67.55060503371823,45.82666556389693,Hold,Hold,Hold
ABB INDIA LIMITED,1411282.5,ABBINDIA,ABBINDIA,ABB,ABB India Ltd.,INE117A01022,ABB,Capital Goods,Cyclical,162446.20856090434,0.2128637059724349,0.2581744729200858,0.010847371107708,102.25,23.94516652991743,8.327863472267794,97.38981328591387,0.0611798386751254,0.5600525824700726,0.3658403019018645,3.447062133608771,True,True,68.03958277614336,3780186.0,13897687.0,2135959470.0,0.9416666666666664,0.06,ABB India Ltd.,INE117A01022,369.86107913669065,461.5,20.73075658000311,0.2840940420145136,capital goods,Large,capital goods_Large,79.59183673469387,79.59183673469387,79.59183673469387,76.82119205298014,31.80327868852459,10.843373493975903,31.25,31.25,56.25,31.148343373493976,82.20858895705521,99.05660377358492,67.3469387755102,82.8707105020501,53.6144578313253,92.1686746987952,42.85714285714285,61.07613351814012,Neutral,4.6,0.2847879821526152,0.1204709898575698,86.8289156626506,79.29879518072288,79.46768060836501,41.06463878326996,47.70642201834863,50.0,67.76463575945289,54.64475177614533,GREEN,50000000.0,GREEN,1,-1,0,67.76463575945289,54.64475177614533,66.76463575945289,53.64475177614533,Hold,Hold,Hold
MAHINDRA AND MAHINDRA LIMITED,1177050.0,MAHINDRAANDMAHINDRA,,M&M,Mahindra & Mahindra Ltd.,,M&M,Automobile and Auto Components,Cyclical,422252.1637038352,0.1378251690728235,0.1274719084851463,1.4708959472378271,3.855698050255448,17.84936997453506,24.764620535013293,22.674909446022728,-0.02205690682113,-0.1395488936400846,0.0251664725323332,0.113806807661255,True,False,51.959236150064136,-3607251.0,-32854784.0,7962609276.084717,0.1616666666666665,0.0749999999999975,Mahindra & Mahindra Ltd.,INE101A01026,687.404011384384,-4258.083333333333,4.535615150905349,-1.0084219097856235,automobile and auto components,Large,automobile and auto components_Large,47.61904761904761,14.285714285714285,30.95238095238095,63.57615894039736,77.04918032786885,68.07228915662651,77.77777777777779,66.66666666666666,22.22222222222222,62.01807228915662,55.828220858895705,55.34591194968554,30.0,23.52902213476354,31.626506024096383,15.963855421686745,19.047619047619047,22.01673654946098,Neutral,4.6,0.3161170201709277,0.1021644013996363,97.3710843373494,68.75662650602409,45.62737642585552,42.20532319391635,7.64525993883792,16.566265060240966,51.21245149825756,47.39346843553458,GREEN,50000000.0,GREEN,0,0,0,51.21245149825756,47.39346843553458,51.21245149825756,47.39346843553458,Hold,Hold,Hold
HINDALCO INDUSTRIES LIMITED,1141800.0,HINDALCOINDUSTRIES,HINDALCOINDUSTRIES,HINDALCO,Hindalco Industries Ltd.,INE038A01020,HINDALCO,Metals & Mining,Cyclical,215572.85008450487,0.0980429482439249,0.1479545955851163,0.7260420403710565,10.022988505747126,7.19685771317724,15.282436602710314,16.09833844257373,-0.0561304134088196,0.0093729310793377,0.4574286090763144,1.464137716786534,False,True,54.08538336105228,1928830.0,227315138.0,5363211010.443817,0.7866666666666671,0.2550000000000025,Hindalco Industries Ltd.,INE038A01020,607.794859980584,5367.5,1.5783285627384438,2.48987755085853,metals & mining,Large,metals & mining_Large,58.333333333333336,41.66666666666667,50.0,29.13907284768212,57.70491803278689,80.72289156626506,75.0,87.5,50.0,73.93072289156626,87.42331288343557,92.45283018867924,66.66666666666666,82.18093657959382,24.397590361445783,45.18072289156627,75.0,23.68784720606345,Neutral,4.6,0.3854891032262384,-0.0501828871424458,100.0,7.160240963855421,77.18631178707224,55.893536121673,89.60244648318043,43.373493975903614,67.74716108885389,42.59640534618887,GREEN,50000000.0,GREEN,0,0,0,67.74716108885389,42.59640534618887,67.74716108885389,42.59640534618887,Hold,Hold,Hold
BOSCH LIMITED,1115845.0,BOSCH,BOSCH,BOSCHLTD,Bosch Ltd.,INE323A01026,BOSCHLTD,automobile and auto components,Cyclical,121239.67583779128,0.1346783116942676,0.166014301625592,0.008015627104944,98.14814814814817,10.302716840206603,10.770166417869188,43.72148425452264,0.0961205172643646,0.0916091343600638,0.1512079459706201,0.1937753569900075,True,True,57.61387226542477,534674.0,797493.0,1164305440.0,0.1216666666666663,0.0599999999999989,Bosch Ltd.,INE323A01026,5033.987890371439,892.9090909090909,8.166487662521305,0.7364825786104294,automobile and auto components,Large,automobile and auto components_Large,33.33333333333333,28.57142857142857,30.95238095238095,39.735099337748345,38.36065573770492,37.95180722891566,44.44444444444444,44.44444444444444,66.66666666666666,47.26572958500668,68.71165644171779,63.83647798742138,60.0,64.18271147637972,60.24096385542169,59.63855421686747,57.14285714285714,58.24607117850629,Neutral,4.6,0.3161170201709277,0.1021644013996363,97.3710843373494,68.75662650602409,42.20532319391635,39.92395437262358,23.24159021406728,33.13253012048193,49.641233154047,48.51497393740264,GREEN,50000000.0,GREEN,0,0,0,49.641233154047,48.51497393740264,49.641233154047,48.51497393740264,Hold,Hold,Hold
SCHAEFFLER INDIA LIMITED,1031200.0,SCHAEFFLERINDIA,SCHAEFFLERINDIA,SCHAEFFLER,Schaeffler India Ltd.,INE513A01022,SCHAEFFLER,Automobile and Auto Components,Cyclical,64557.81555175782,0.1628353153863806,0.25499184118939,0.0090939153439153,353.2,12.14824260114298,17.662779397473273,56.137230914572015,0.0193298980714915,0.0992731333990077,0.002477606115717,-0.0619104042897667,True,True,50.64033587847876,-125078.0,3178898.0,238090086.4326172,-0.0516666666666666,0.0,Schaeffler India Ltd.,INE513A01022,387.072,390.25,10.674241989377949,0.604496909730667,automobile and auto components,Large,automobile and auto components_Large,61.90476190476191,71.42857142857143,66.66666666666667,46.026490066225165,65.24590163934427,25.301204819277107,33.33333333333333,33.33333333333333,55.55555555555556,35.76974564926372,51.53374233128834,41.19496855345912,20.0,37.57623696158249,43.67469879518072,60.8433734939759,23.809523809523807,42.71183177837894,Neutral,4.6,0.3161170201709277,0.1021644013996363,97.3710843373494,68.75662650602409,20.91254752851712,32.129277566539926,31.49847094801223,25.301204819277107,50.33952199429224,50.35131355026349,GREEN,50000000.0,GREEN,0,0,0,50.33952199429224,50.35131355026349,50.33952199429224,50.35131355026349,Hold,Hold,Hold
HDFC BANK LIMITED,902889.0,HDFCBANK,HDFCBANK,HDFCBANK,HDFC Bank Ltd.,INE040A01034,HDFCBANK,Financial Services,Sensitive-hybrid,1296471.2843282283,0.1351723973183587,,3.0457172400730985,,26.86010345560268,3.6412608846884575,16.365660817836986,0.0122190688434533,-0.1121413409728012,-0.169224867572186,0.1347657302675182,True,False,55.85365853658537,-302420674.0,-1090303564.0,26765671487.25345,3.725000000000001,11.095,HDFC Bank Ltd.,INE040A01034,365.3852486146,15378.083333333334,2.2121856064461567,1.186149166527938,financial services,Large,financial services_Large,49.01960784313725,,49.01960784313725,79.47019867549669,18.688524590163937,80.12048192771084,65.21739130434783,60.86956521739131,65.21739130434783,68.07359874279727,30.67484662576687,57.86163522012578,22.0,18.42274697431544,42.46987951807229,19.57831325301205,43.13725490196079,34.47645003735651,Neutral,-2.6,0.0626643811533381,0.0569061228228353,48.00240963855421,48.00240963855421,97.33840304182507,99.04942965779468,1.2232415902140672,1.2048192771084338,54.6689743150568,44.91346258737949,N/A-financial-sector,50000000.0,GREEN,1,-1,0,54.6689743150568,44.91346258737949,53.6689743150568,43.91346258737949,Hold,Hold,Hold
