symbol,company_name,isin,series,listing_date
20MICRONS,20 Microns Limited,INE144J01027,EQ,06-OCT-2008
21STCENMGM,21st Century Management Services Limited,INE253B01015,EQ,03-MAY-1995
360ONE,360 ONE WAM LIMITED,INE466L01038,EQ,19-SEP-2019
3BBLACKBIO,3B Blackbio Dx Limited,INE994E01018,EQ,20-APR-2026
3IINFOLTD,3i Infotech Limited,INE748C01038,EQ,22-OCT-2021
3MINDIA,3M India Limited,INE470A01017,EQ,13-AUG-2004
3PLAND,3P Land Holdings Limited,INE105C01023,EQ,19-JUL-1995
5PAISA,5Paisa Capital Limited,INE618L01018,EQ,16-NOV-2017
63MOONS,63 moons technologies limited,INE111B01023,EQ,20-JUN-2005
A2ZINFRA,A2Z Infra Engineering Limited,INE619I01012,EQ,23-DEC-2010
AAATECH,AAA Technologies Limited,INE0D0U01013,EQ,28-NOV-2022
AADHARHFC,Aadhar Housing Finance Limited,INE883F01010,EQ,15-MAY-2024
AAKASH,Aakash Exploration Services Limited,INE087Z01024,EQ,29-SEP-2020
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,INE198H01019,BE,06-AUG-2021
AARNAV,Aarnav Fashions Limited,INE750R01016,EQ,25-FEB-2026
AARON,Aaron Industries Limited,INE721Z01010,EQ,06-NOV-2020
AARTECH,Aartech Solonics Limited,INE01C001026,BE,10-JUL-2023
AARTIDRUGS,Aarti Drugs Limited,INE767A01016,EQ,19-SEP-2003
AARTIIND,Aarti Industries Limited,INE769A01020,EQ,08-FEB-1995
AARTIPHARM,Aarti Pharmalabs Limited,INE0LRU01027,EQ,30-JAN-2023
AARTISURF,Aarti Surfactants Limited,INE09EO01013,EQ,14-JUL-2020
AARVI,Aarvi Encon Limited,INE754X01016,EQ,24-JUN-2020
AASTHA,Aastha Spintex Limited,INE2FMX01012,EQ,06-JUL-2026
AAVAS,Aavas Financiers Limited,INE216P01012,EQ,08-OCT-2018
ABAN,Aban Offshore Limited,INE421A01028,BE,29-MAR-1995
ABANSENT,Abans Enterprises Limited,INE365O01028,EQ,20-APR-2026
ABB,ABB India Limited,INE117A01022,EQ,08-FEB-1995
ABBOTINDIA,Abbott India Limited,INE358A01014,EQ,08-JAN-2010
ABCAPITAL,Aditya Birla Capital Limited,INE674K01013,EQ,01-SEP-2017
ABCOTS,A B Cotspin India Limited,INE08PH01015,EQ,24-SEP-2025
ABDL,Allied Blenders and Distillers Limited,INE552Z01027,EQ,02-JUL-2024
ABFRL,Aditya Birla Fashion and Retail Limited,INE647O01011,EQ,17-JUL-2013
ABINFRA,A B Infrabuild Limited,INE00YB01025,EQ,08-NOV-2024
ABLBL,Aditya Birla Lifestyle Brands Limited,INE14LE01019,EQ,23-JUN-2025
ABMINTLLTD,ABM International Limited,INE251C01025,EQ,09-SEP-2021
ABMKNO,ABM Knowledgeware Limited,INE850B01026,EQ,20-APR-2026
ABREL,Aditya Birla Real Estate Limited,INE055A01016,EQ,27-JUN-2003
ABSLAMC,Aditya Birla Sun Life AMC Limited,INE404A01024,EQ,11-OCT-2021
ACC,ACC Limited,INE012A01025,EQ,20-NOV-1996
ACCELYA,Accelya Solutions India Limited,INE793A01012,EQ,01-DEC-1999
ACCURACY,Accuracy Shipping Limited,INE648Z01023,BE,11-DEC-2020
ACE,Action Construction Equipment Limited,INE731H01025,EQ,26-SEP-2006
ACEINTEG,Ace Integrated Solutions Limited,INE543V01017,EQ,04-NOV-2022
ACI,Archean Chemical Industries Limited,INE128X01021,EQ,21-NOV-2022
ACL,Andhra Cements Limited,INE666E01020,EQ,10-MAY-2023
