P01 TradingView invite-only indicator suite | composite 4.56/10 | hard_speed=3.7 hard_ceiling=4.7 hard_cost=5.0 hard_cac=4.0 hard_build=7.7 hard_scale=4.7 soft_anon=4.7 soft_reg=2.0 soft_fit=9.0 soft_motivation=6.3 soft_viral=4.3 soft_moat=3.0 soft_optionality=4.3 | maxDisagreement=2 | killVotes=3/3 | Regulatory verifier downgraded to borderline-KILL (employer code of conduct realistically fatal, Indian buyers uncontrollable); numbers verifier flagged revenue >2x inflated and TradingView earnings claims unsourced. // Regulatory verifier downgraded to borderline-KILL: employer code-of-conduct disclosure is 'realistically fatal' for a broker employee selling trading indicators, Indian subscribers uncontrollable, and numbers verifier flagged >2x revenue inflation; a KYC'd payment trail plus discoverable script footprint is exactly how careers end. // Regulatory verifier: employer code-of-conduct guardrail 'realistically fatal', treat as KILL; can't stop Indian buyers; free-script funnel called fantasy and revenue ranges flagged >2x inflated.
P02 AI-native trading journal / options-analytics SaaS | composite 5.43/10 | hard_speed=3.0 hard_ceiling=5.3 hard_cost=8.0 hard_cac=4.7 hard_build=6.0 hard_scale=6.0 soft_anon=6.7 soft_reg=4.7 soft_fit=10.0 soft_motivation=7.3 soft_viral=3.0 soft_moat=5.0 soft_optionality=7.3 | maxDisagreement=3 | killVotes=0/3 | Only survivable finance play (verifier-confirmed) with max skill fit, but SaaS base rates (17.3% ever reach $1K MRR) make month-3 lakhs implausible — speed is its weakness, and Angel-ships-analytics employer conflict caps soft_reg at 5. // Only survivable finance play per regulatory verifier, and fit is maximal — but it is one feature flag from RA territory, Angel One ships competing analytics (direct employer conflict), global AI-journal thesis is stale (TradeZella/TradesViz already AI), and corrected 3mo revenue is ~0-15k/mo; only the India contract-note wedge is real. // Only survivable finance play per reg verifier, but 'AI-native wedge' is stale (TradeZella/TraderSync already ship AI); India contract-note wedge real but low-ARPU — scale to crores needs top-5% branch; fit=10 is his exact domain.
P03 Python/AI backtesting skills course | composite 4.71/10 | hard_speed=4.3 hard_ceiling=3.3 hard_cost=8.7 hard_cac=3.0 hard_build=5.7 hard_scale=3.3 soft_anon=6.3 soft_reg=5.0 soft_fit=9.0 soft_motivation=5.3 soft_viral=2.0 soft_moat=2.0 soft_optionality=5.7 | maxDisagreement=2 | killVotes=2/3 | Saturation verifier explicitly killed it as a standalone (Whop median $74/mo, 88% earn $0, no audience to sell into); CAC>=price at his ad budget — acceptable only as an upsell to a working product. // Saturation verifier killed it as a standalone (88% of Whop earns $0; monetizes an audience that doesn't exist); survives only as an upsell — plus content-drift toward market views is the named failure mode that turns 'skills course' into the Sathe fact pattern for an intermediary employee. // Saturation verifier: 'KILL as standalone, acceptable upsell' — the play as defined is standalone; Whop 88%-earn-zero base rate guts CAC from no audience; courses never reach crores.
P04 Quant-methods engineering newsletter | composite 4.72/10 | hard_speed=2.0 hard_ceiling=2.7 hard_cost=9.7 hard_cac=2.3 hard_build=8.7 hard_scale=2.7 soft_anon=7.3 soft_reg=5.3 soft_fit=9.0 soft_motivation=4.3 soft_viral=3.0 soft_moat=3.3 soft_optionality=7.0 | maxDisagreement=2 | killVotes=0/3 | Honest as a funnel, useless as cash: 0.62% median paid conversion needs a 20k list he won't have for 12 months; drift toward market views is a live SEBI/employer risk. // Median paid newsletter earns ~zero (0.62% paid conversion) and a quant colleague can fingerprint his writing style; acceptable only as a funnel asset, never a revenue line, with permanent drift-to-market-views risk. // Survives only because it's defined as a funnel, not a business; 0.62% median paid conversion means ~zero standalone revenue for 12+ months — ceiling and speed near floor on a scale lens.
P05 Niche ASO mobile utility (HabitKit pattern) | composite 5.52/10 | hard_speed=1.7 hard_ceiling=4.7 hard_cost=8.0 hard_cac=5.3 hard_build=8.0 hard_scale=6.0 soft_anon=6.3 soft_reg=10.0 soft_fit=5.7 soft_motivation=5.0 soft_viral=3.3 soft_moat=3.0 soft_optionality=6.3 | maxDisagreement=2 | killVotes=0/3 | Speed-fatal for the 90-day goal: HabitKit took 2.5 years to $10K MRR and 14,700 new subscription apps/month now carpet-bomb every visible keyword; safe compounding asset, not a paycheck; Apple legal-name display drags soft_anon. // Zero SEBI surface but the archetype is 'worked-if-started-2022': 17.3% reach $1K MRR in TWO years, Roehl needed 2.5 years, 7x supply growth carpet-bombs visible keywords, and Apple's legal-name display needs the brother/org workaround — a compounding asset, not a paycheck, with real month-9 abandonment risk. // Archetypal 'worked 2-3 years ago' play per saturation verifier (7x supply growth, HabitKit took 2.5yr to $10K MRR); scales passively without quitting but ceiling caps well below crores; reg=10 zero exposure.
P06 Single-purpose consumer AI photo app (Cal-AI pattern) | composite 6.05/10 | hard_speed=3.3 hard_ceiling=6.3 hard_cost=6.0 hard_cac=5.0 hard_build=7.0 hard_scale=6.7 soft_anon=7.7 soft_reg=8.3 soft_fit=5.3 soft_motivation=5.7 soft_viral=7.0 soft_moat=2.7 soft_optionality=7.0 | maxDisagreement=2 | killVotes=0/3 | USD credit-pack pricing plus proven UGC seeding gives real ceiling, but Rs15-20k buys only 5-10 creator videos — a signal-read, not revenue; modal outcome is failure and moat is nil once a wedge works. // Cheapest legitimate lottery ticket in the brief (Rs 25k = the Blake Anderson $50-creator entry), but headshots are crowded, wrappers get cloned in weeks, iOS carries 25% rejection risk plus legal-name exposure, and modal outcome is failure — survives only because the matrimonial wedge wasn't refuted. // The only budget-compatible archetype with documented crore-scale outcomes (Cal AI $30-50M, HeadshotPro $833K/mo) via paid micro-UGC; matrimonial vertical still open per teardown; modal outcome remains failure and moat is distribution only.
P07 Chrome extension / web micro-tool via MoR | composite 5.54/10 | hard_speed=2.0 hard_ceiling=3.0 hard_cost=10.0 hard_cac=4.0 hard_build=9.0 hard_scale=3.7 soft_anon=8.3 soft_reg=10.0 soft_fit=6.3 soft_motivation=5.7 soft_viral=3.0 soft_moat=2.7 soft_optionality=6.3 | maxDisagreement=2 | killVotes=0/3 | Cheapest and cleanest play in the set (Rs2K, MoR anonymity, zero SEBI surface) but the brief's own benchmark of $180/mo after 6 months across 5 extensions makes it irrelevant to a lakhs-in-90-days mandate. // Near-zero career risk and near-zero cost, but receipts show $180/mo after 6 months across FIVE extensions — structurally incapable of the lakhs goal; the 24-36x MRR exit is the only interesting property. // Receipt-backed benchmarks cap it at $500-2K/mo by month 12 — structurally incapable of crores; fine as a ₹2K side bet with a 24-36x MRR exit option, nothing more.
P08 Brother-fronted NEET-PG/FMGE AI study system | composite 7.56/10 | hard_speed=6.7 hard_ceiling=6.3 hard_cost=9.0 hard_cac=7.7 hard_build=6.3 hard_scale=6.3 soft_anon=9.7 soft_reg=9.0 soft_fit=8.0 soft_motivation=7.0 soft_viral=6.7 soft_moat=7.0 soft_optionality=7.0 | maxDisagreement=2 | killVotes=0/3 | Fastest credible path to Rs1L: pre-sold founding members into the brother's warm college WhatsApp/Telegram networks — the only distribution moat verifiers said this budget can hold; brother-as-face is the one structure the regulatory verifier called genuinely clean (Sec 64 confirmed). // Best risk-adjusted play on the board: all three verifiers concur it's the cleanest structure (brother genuinely operates it, Sec-64 clean, zero SEBI surface) with the only affordable moat (college WhatsApp distribution); real risks are brother's 3rd-year MBBS bandwidth, medical-content accuracy scrutiny, and numbers verifier capping good-case at Rs 5-20L/yr, not crores. // All three verifiers rank it best: least saturated, cleanest legal structure (C10 sibling non-clubbing), only distribution moat this budget affords (brother's college networks); scale honesty — corrected 12mo ₹5-20L/yr, crores requires becoming a real edtech and brother's MBBS bandwidth is the bottleneck.
P09 AI Vedic astrology chat & reports | composite 6.99/10 | hard_speed=5.0 hard_ceiling=7.0 hard_cost=9.0 hard_cac=6.0 hard_build=8.0 hard_scale=7.0 soft_anon=9.7 soft_reg=8.7 soft_fit=5.0 soft_motivation=5.0 soft_viral=7.7 soft_moat=3.3 soft_optionality=6.0 | maxDisagreement=2 | killVotes=0/3 | Fastest mechanics in the set (2-4 weeks to first Rs99 report, one-shot payments match Indian behavior, natively faceless category) but AstroSage '90% margin' proof is a paid press release and 233 funded competitors mean odds of month-3 lakhs corrected to 5-15%; moat near zero. // Category is natively faceless and unregulated with verified demand (Astrotalk Rs 1,214cr), but the AstroSage '90% margins' proof is a paid press release, 233+ competitors including funded teams contest generic kundli-chat, and corrected odds of month-3 lakhs are 5-15% — the diaspora-USD wedge is the only defensible angle and moat is near nil. // Highest verified ceiling in the brief on a scale lens (Astrotalk ₹1,214cr, Nebula $516K/mo, 90%+ software margins) with native anonymity; but AstroSage '90% margin' claim is an advertorial, 233+ funded competitors contest India, and month-3 odds corrected to 5-15% — the diaspora-USD wedge is what earns the 8.
P10 India-localized food calorie-scan app | composite 4.46/10 | hard_speed=2.0 hard_ceiling=3.0 hard_cost=7.0 hard_cac=2.7 hard_build=6.3 hard_scale=3.3 soft_anon=8.0 soft_reg=7.0 soft_fit=4.0 soft_motivation=3.7 soft_viral=4.0 soft_moat=1.7 soft_optionality=4.0 | maxDisagreement=1 | killVotes=3/3 | Double-killed: teardown lane rates category AVOID post-MyFitnessPal acquisition and saturation verifier confirms SATURATED-KILL (HealthifyMe owns Indian-food locally, clone CAC unaffordable); tech fails worst exactly on mixed Indian dishes. // Double-killed: teardown lane rates AVOID and saturation verifier confirms SATURATED-KILL — MyFitnessPal owns the leader, clones bid CAC beyond his budget, HealthifyMe owns Indian food, and photo-calorie accuracy fails worst on exactly the mixed Indian dishes that are the wedge. // SATURATED-KILL by saturation verifier and AVOID by teardown lane: MyFitnessPal owns the leader, clones bid CAC beyond his budget, HealthifyMe owns Indian food, and photo accuracy fails worst on Indian mixed dishes.
P11 AI wedding-media stack | composite 5.58/10 | hard_speed=3.7 hard_ceiling=3.3 hard_cost=8.3 hard_cac=4.7 hard_build=7.7 hard_scale=3.3 soft_anon=9.0 soft_reg=9.3 soft_fit=4.0 soft_motivation=4.3 soft_viral=5.3 soft_moat=1.0 soft_optionality=4.0 | maxDisagreement=1 | killVotes=3/3 | Saturation verifier: SATURATED-KILL — the claimed arbitrage window already closed (VEED/InVideo/ImagineArt ship free Indian-wedding invite generators); also launching in July against a Nov-Feb season kills the speed thesis. // Saturation verifier: SATURATED-KILL — the claimed arbitrage lag already closed (VEED/InVideo/ImagineArt ship free Indian-wedding invite generators, TrueFan runs enterprise batch), so he'd be selling against free with zero moat; numbers verifier also flagged ~2x revenue inflation. // SATURATED-KILL: the claimed arbitrage lag already closed — VEED/InVideo/Filmora/ImagineArt ship free Indian-wedding invite generators; zero moat against free incumbents guts the core premise.
